"Device ID:-ESP098990, FileName:-1162019-07-23_15H35M13S.csv, Load:-116"
TimeElapsed,Value
0:0:0,2.809
0:0:4,2.801
0:0:8,2.798
0:0:12,2.798
0:0:16,2.798
0:0:20,2.798
0:0:24,2.798
0:0:28,2.795
0:0:32,2.795
0:0:36,2.795
0:0:40,2.795
0:0:44,2.795
0:0:48,2.795
0:0:52,2.792
0:0:56,2.795
0:1:0,2.792
0:1:4,2.792
0:1:8,2.792
0:1:12,2.792
0:1:16,2.792
0:1:20,2.792
0:1:24,2.792
0:1:28,2.789
0:1:32,2.789
0:1:36,2.789
0:1:40,2.789
0:1:44,2.789
0:1:48,2.789
0:1:52,2.789
0:1:56,2.789
0:2:0,2.789
0:2:4,2.789
0:2:8,2.789
0:2:12,2.786
0:2:16,2.786
0:2:20,2.786
0:2:24,2.786
0:2:28,2.786
0:2:32,2.786
0:2:36,2.786
0:2:40,2.786
0:2:44,2.786
0:2:48,2.783
0:2:52,2.786
0:2:56,2.783
0:3:0,2.783
0:3:4,2.783
0:3:8,2.783
0:3:12,2.783
0:3:16,2.78
0:3:20,2.783
0:3:24,2.78
0:3:28,2.78
0:3:32,2.78
0:3:36,2.78
0:3:40,2.777
0:3:44,2.777
0:3:48,2.777
0:3:52,2.777
0:3:56,2.777
0:4:0,2.771
0:4:4,2.777
0:4:8,2.777
0:4:12,2.771
0:4:16,2.771
0:4:20,2.777
0:4:24,2.771
0:4:28,2.771
0:4:32,2.771
0:4:36,2.771
0:4:40,2.771
0:4:44,2.771
0:4:48,2.771
0:4:52,2.771
0:4:56,2.769
0:5:0,2.769
0:5:4,2.769
0:5:8,2.769
0:5:12,2.769
0:5:16,2.769
0:5:20,2.769
0:5:24,2.769
0:5:28,2.769
0:5:32,2.769
0:5:36,2.769
0:5:40,2.766
0:5:44,2.766
0:5:48,2.766
0:5:52,2.766
0:5:56,2.763
0:6:0,2.766
0:6:4,2.766
0:6:8,2.763
0:6:12,2.763
0:6:16,2.76
0:6:20,2.763
0:6:24,2.763
0:6:28,2.76
0:6:32,2.76
0:6:36,2.76
0:6:40,2.76
0:6:44,2.76
0:6:48,2.76
0:6:52,2.76
0:6:56,2.76
0:7:0,2.76
0:7:4,2.76
0:7:8,2.76
0:7:12,2.76
0:7:16,2.76
0:7:20,2.76
0:7:24,2.76
0:7:28,2.76
0:7:32,2.76
0:7:36,2.757
0:7:40,2.757
0:7:44,2.757
0:7:48,2.757
0:7:52,2.757
0:7:56,2.757
0:8:0,2.757
0:8:4,2.757
0:8:8,2.757
0:8:12,2.757
0:8:16,2.757
0:8:20,2.757
0:8:24,2.757
0:8:28,2.757
0:8:32,2.757
0:8:36,2.757
0:8:40,2.757
0:8:44,2.757
0:8:48,2.754
0:8:52,2.754
0:8:56,2.757
0:9:0,2.754
0:9:4,2.754
0:9:8,2.754
0:9:12,2.754
0:9:16,2.754
0:9:20,2.754
0:9:24,2.754
0:9:28,2.754
0:9:32,2.754
0:9:36,2.754
0:9:40,2.754
0:9:44,2.754
0:9:48,2.751
0:9:52,2.754
0:9:56,2.754
0:10:0,2.751
0:10:4,2.751
0:10:8,2.751
