"Device ID:-analog, FileName:-analog2322019-07-1807H56M08S.csv"
TimeElapsed,Value
0sec,2.918
4sec,2.906
8sec,2.903
12sec,2.903
16sec,2.903
20sec,2.9
24sec,2.9
28sec,2.9
32sec,2.897
36sec,2.897
40sec,2.897
44sec,2.897
48sec,2.897
52sec,2.895
56sec,2.895
1min,2.895
1min 4sec,2.895
1min 8sec,2.895
1min 12sec,2.892
1min 16sec,2.892
1min 20sec,2.892
1min 24sec,2.889
1min 28sec,2.895
1min 32sec,2.892
1min 36sec,2.889
1min 40sec,2.889
1min 44sec,2.892
1min 48sec,2.886
1min 52sec,2.892
1min 56sec,2.892
2min,2.889
2min 4sec,2.889
2min 8sec,2.889
2min 12sec,2.886
2min 16sec,2.889
2min 20sec,2.886
2min 24sec,2.886
2min 28sec,2.886
2min 32sec,2.886
2min 36sec,2.886
2min 40sec,2.886
2min 44sec,2.883
2min 48sec,2.886
2min 52sec,2.883
2min 56sec,2.877
3min,2.877
3min 4sec,2.877
3min 8sec,2.874
3min 12sec,2.886
3min 16sec,2.877
3min 20sec,2.877
3min 24sec,2.874
3min 28sec,2.883
3min 32sec,2.874
3min 36sec,2.877
3min 40sec,2.874
3min 44sec,2.874
3min 48sec,2.868
3min 52sec,2.874
3min 56sec,2.871
4min,2.874
4min 4sec,2.871
4min 8sec,2.874
4min 12sec,2.868
4min 16sec,2.874
4min 20sec,2.862
4min 24sec,2.859
4min 28sec,2.865
4min 32sec,2.871
4min 36sec,2.862
4min 40sec,2.856
4min 44sec,2.862
4min 48sec,2.859
4min 52sec,2.859
4min 56sec,2.856
5min,2.854
5min 4sec,2.856
5min 8sec,2.865
5min 12sec,2.859
5min 16sec,2.859
5min 20sec,2.856
5min 24sec,2.856
5min 28sec,2.856
5min 32sec,2.859
5min 36sec,2.859
5min 40sec,2.856
5min 44sec,2.856
5min 48sec,2.854
5min 52sec,2.854
5min 56sec,2.854
6min,2.856
6min 4sec,2.856
6min 8sec,2.854
6min 12sec,2.854
6min 16sec,2.856
6min 20sec,2.856
6min 24sec,2.854
6min 28sec,2.851
6min 32sec,2.854
6min 36sec,2.854
6min 40sec,2.851
6min 44sec,2.854
6min 48sec,2.848
6min 52sec,2.856
6min 56sec,2.851
7min,2.851
7min 4sec,2.851
7min 8sec,2.851
7min 12sec,2.851
7min 16sec,2.851
7min 20sec,2.851
7min 24sec,2.848
7min 28sec,2.851
7min 32sec,2.851
7min 36sec,2.851
7min 40sec,2.848
7min 44sec,2.848
7min 48sec,2.848
7min 52sec,2.848
7min 56sec,2.848
8min,2.848
8min 4sec,2.848
8min 8sec,2.848
8min 12sec,2.848
8min 16sec,2.848
8min 20sec,2.842
8min 24sec,2.848
8min 28sec,2.848
8min 32sec,2.848
8min 36sec,2.842
8min 40sec,2.842
8min 44sec,2.842
8min 48sec,2.839
8min 52sec,2.842
8min 56sec,2.848
9min,2.842
9min 4sec,2.842
9min 8sec,2.842
9min 12sec,2.839
9min 16sec,2.842
9min 20sec,2.842
9min 24sec,2.842
9min 28sec,2.836
9min 32sec,2.839
9min 36sec,2.836
9min 40sec,2.836
9min 44sec,2.839
9min 48sec,2.836
9min 52sec,2.836
9min 56sec,2.836
10min,2.836
10min 4sec,2.839
10min 8sec,2.836
10min 12sec,2.833
10min 16sec,2.836
10min 20sec,2.833
10min 24sec,2.83
10min 28sec,2.83
10min 32sec,2.83
10min 36sec,2.836
10min 40sec,2.83
10min 44sec,2.83
10min 48sec,2.83
10min 52sec,2.827
10min 56sec,2.83
11min,2.83
11min 4sec,2.83
11min 8sec,2.83
11min 12sec,2.83
11min 16sec,2.827
11min 20sec,2.83
11min 24sec,2.827
11min 28sec,2.827
11min 32sec,2.827
11min 36sec,2.83
11min 40sec,2.827
11min 44sec,2.827
11min 48sec,2.83
11min 52sec,2.827
11min 56sec,2.827
12min,2.827
12min 4sec,2.824
12min 8sec,2.824
12min 12sec,2.83
12min 16sec,2.824
12min 20sec,2.824
12min 24sec,2.824
12min 28sec,2.824
12min 32sec,2.824
12min 36sec,2.821
12min 40sec,2.821
12min 44sec,2.824
12min 48sec,2.824
12min 52sec,2.824
12min 56sec,2.824
13min,2.824
13min 4sec,2.824
13min 8sec,2.824
13min 12sec,2.824
13min 16sec,2.821
13min 20sec,2.824
13min 24sec,2.824
13min 28sec,2.821
13min 32sec,2.821
13min 36sec,2.821
13min 40sec,2.821
13min 44sec,2.818
13min 48sec,2.821
13min 52sec,2.824
13min 56sec,2.821
14min,2.821
14min 4sec,2.818
14min 8sec,2.821
14min 12sec,2.818
14min 16sec,2.818
14min 20sec,2.815
14min 24sec,2.818
14min 28sec,2.818
14min 32sec,2.818
14min 36sec,2.818
14min 40sec,2.818
14min 44sec,2.818
14min 48sec,2.818
14min 52sec,2.818
14min 56sec,2.815
15min,2.815
15min 4sec,2.818
15min 8sec,2.815
15min 12sec,2.818
15min 16sec,2.818
15min 20sec,2.815
15min 24sec,2.815
15min 28sec,2.815
15min 32sec,2.815
15min 36sec,2.815
15min 40sec,2.815
15min 44sec,2.815
15min 48sec,2.815
15min 52sec,2.813
15min 56sec,2.815
16min,2.815
16min 4sec,2.815
16min 8sec,2.813
16min 12sec,2.815
16min 16sec,2.815
16min 20sec,2.815
16min 24sec,2.813
16min 28sec,2.813
16min 32sec,2.813
16min 36sec,2.813
16min 40sec,2.813
16min 44sec,2.815
16min 48sec,2.813
